Year,Month,dewey,counts
2007,03-08,300,910
2007,03-08,400,90
2007,03-08,500,417
2007,03-08,600,1399
2007,03-08,700,1667
2007,03-08,800,457
2007,03-08,900,822
2007,03-09,0,5900
2007,03-09,100,328
2007,03-09,200,269
2007,03-09,300,955
2007,03-09,400,77
2007,03-09,500,365
2007,03-09,600,1471
2007,03-09,700,1743
2007,03-09,800,506
2007,03-09,900,858
2007,03-10,0,7763
2007,03-10,100,308
2007,03-10,200,307
2007,03-10,300,1102
2007,03-10,400,97
2007,03-10,500,501
2007,03-10,600,1603
2007,03-10,700,2232
2007,03-10,800,550
2007,03-10,900,1005
2007,03-11,0,2988
2007,03-11,100,142
2007,03-11,200,138
2007,03-11,300,498
2007,03-11,400,50
2007,03-11,500,229
2007,03-11,600,602
2007,03-11,700,925
2007,03-11,800,189
2007,03-11,900,457
2007,03-12,0,6149
2007,03-12,100,230
2007,03-12,200,213
2007,03-12,300,861
2007,03-12,400,84
2007,03-12,500,384
2007,03-12,600,1356
2007,03-12,700,1818
2007,03-12,800,473
2007,03-12,900,915
2007,03-13,0,5617
2007,03-13,100,252
2007,03-13,200,223
2007,03-13,300,813
2007,03-13,400,80
2007,03-13,500,427
2007,03-13,600,1291
2007,03-13,700,1609
2007,03-13,800,462
2007,03-13,900,850
2007,03-14,0,7027
2007,03-14,100,383
2007,03-14,200,325
2007,03-14,300,1084
2007,03-14,400,67
2007,03-14,500,487
2007,03-14,600,1443
2007,03-14,700,1892
2007,03-14,800,492
2007,03-14,900,876
2007,03-15,0,6561
2007,03-15,100,266
2007,03-15,200,255
2007,03-15,300,1022
2007,03-15,400,77
2007,03-15,500,389
2007,03-15,600,1553
2007,03-15,700,1969
2007,03-15,800,438
2007,03-15,900,906
2007,03-16,0,5720
2007,03-16,100,258
2007,03-16,200,321
2007,03-16,300,782
2007,03-16,400,86
2007,03-16,500,375
2007,03-16,600,1225
2007,03-16,700,1525
2007,03-16,800,481
2007,03-16,900,733
2007,03-17,0,6330
2007,03-17,100,269
2007,03-17,200,283
2007,03-17,300,940
2007,03-17,400,76
2007,03-17,500,388
2007,03-17,600,1320
2007,03-17,700,1816
2007,03-17,800,460
2007,03-17,900,891
2007,03-18,0,2871
2007,03-18,100,130
2007,03-18,200,138
2007,03-18,300,501
2007,03-18,400,58
2007,03-18,500,240
2007,03-18,600,616
2007,03-18,700,1005
2007,03-18,800,224
2007,03-18,900,425
2007,03-19,0,5457
2007,03-19,100,252
2007,03-19,200,210
2007,03-19,300,920
2007,03-19,400,65
2007,03-19,500,390
2007,03-19,600,1354
2007,03-19,700,1500
2007,03-19,800,373
2007,03-19,900,602
2007,03-20,0,6190
2007,03-20,100,235
2007,03-20,200,210
2007,03-20,300,874
2007,03-20,400,97
2007,03-20,500,360
2007,03-20,600,1265
2007,03-20,700,1620
2007,03-20,800,383
2007,03-20,900,746
2007,03-21,0,7094
2007,03-21,100,275
2007,03-21,200,266
2007,03-21,300,1002
2007,03-21,400,120
2007,03-21,500,353
2007,03-21,600,1469
2007,03-21,700,1825
2007,03-21,800,449
2007,03-21,900,925
2007,03-22,0,6922
2007,03-22,100,312
2007,03-22,200,234
2007,03-22,300,1042
2007,03-22,400,79
2007,03-22,500,507
2007,03-22,600,1569
2007,03-22,700,2082
2007,03-22,800,439
2007,03-22,900,760
2007,03-23,0,5801
2007,03-23,100,306
2007,03-23,200,241
2007,03-23,300,843
2007,03-23,400,63
2007,03-23,500,315
2007,03-23,600,1184
2007,03-23,700,1503
2007,03-23,800,433
2007,03-23,900,818
2007,03-24,0,6832
2007,03-24,100,244
2007,03-24,200,229
2007,03-24,300,1052
2007,03-24,400,76
2007,03-24,500,410
2007,03-24,600,1487
2007,03-24,700,1899
2007,03-24,800,416
2007,03-24,900,948
2007,03-25,0,3015
2007,03-25,100,119
2007,03-25,200,129
2007,03-25,300,444
2007,03-25,400,42
2007,03-25,500,161
2007,03-25,600,630
2007,03-25,700,973
2007,03-25,800,286
2007,03-25,900,410
2007,03-26,0,5106
2007,03-26,100,214
2007,03-26,200,211
2007,03-26,300,796
2007,03-26,400,72
2007,03-26,500,286
2007,03-26,600,1114
2007,03-26,700,1636
2007,03-26,800,527
2007,03-26,900,708
2007,03-27,0,5665
2007,03-27,100,275
2007,03-27,200,217
2007,03-27,300,777
2007,03-27,400,80
2007,03-27,500,375
2007,03-27,600,1196
2007,03-27,700,1639
2007,03-27,800,431
2007,03-27,900,763
2007,03-28,0,6759
2007,03-28,100,313
2007,03-28,200,257
2007,03-28,300,1014
2007,03-28,400,47
2007,03-28,500,356
2007,03-28,600,1578
2007,03-28,700,2110
2007,03-28,800,569
2007,03-28,900,930
2007,03-29,0,5844
2007,03-29,100,242
2007,03-29,200,294
2007,03-29,300,859
2007,03-29,400,73
2007,03-29,500,321
2007,03-29,600,1254
2007,03-29,700,1881
2007,03-29,800,477
2007,03-29,900,826
2007,03-30,0,5207
2007,03-30,100,228
2007,03-30,200,222
2007,03-30,300,845
2007,03-30,400,53
2007,03-30,500,265
2007,03-30,600,1162
2007,03-30,700,1491
2007,03-30,800,319
2007,03-30,900,691
2007,03-31,0,6901
2007,03-31,100,247
2007,03-31,200,292
2007,03-31,300,1109
2007,03-31,400,57
2007,03-31,500,337
2007,03-31,600,1316
2007,03-31,700,1944
2007,03-31,800,402
2007,03-31,900,862
2007,04-01,0,2986
2007,04-01,100,111
2007,04-01,200,101
2007,04-01,300,507
2007,04-01,400,57
2007,04-01,500,220
2007,04-01,600,599
2007,04-01,700,914
2007,04-01,800,201
2007,04-01,900,416
2007,04-02,0,5808
2007,04-02,100,195
2007,04-02,200,200
2007,04-02,300,742
2007,04-02,400,88
2007,04-02,500,284
2007,04-02,600,1113
2007,04-02,700,1559
2007,04-02,800,441
2007,04-02,900,671
2007,04-03,0,5392
2007,04-03,100,210
2007,04-03,200,194
2007,04-03,300,790
2007,04-03,400,89
2007,04-03,500,303
2007,04-03,600,1194
2007,04-03,700,1580
2007,04-03,800,382
2007,04-03,900,669
2007,04-04,0,6588
2007,04-04,100,287
2007,04-04,200,258
2007,04-04,300,911
2007,04-04,400,83
2007,04-04,500,358
2007,04-04,600,1398
2007,04-04,700,2037
2007,04-04,800,450
2007,04-04,900,759
2007,04-05,0,5955
2007,04-05,100,228
2007,04-05,200,222
2007,04-05,300,855
2007,04-05,400,76
2007,04-05,500,302
2007,04-05,600,1300
2007,04-05,700,1847
2007,04-05,800,457
2007,04-05,900,658
2007,04-06,0,4865
2007,04-06,100,210
2007,04-06,200,220
2007,04-06,300,787
2007,04-06,400,74
2007,04-06,500,251
2007,04-06,600,1101
2007,04-06,700,1478
2007,04-06,800,431
2007,04-06,900,582
2007,04-07,0,6664
2007,04-07,100,288
2007,04-07,200,247
2007,04-07,300,1035
2007,04-07,400,70
2007,04-07,500,332
2007,04-07,600,1428
2007,04-07,700,1914
2007,04-07,800,541
2007,04-07,900,977
2007,04-08,0,1
2007,04-08,100,0
2007,04-08,200,0
2007,04-08,300,1
2007,04-08,400,0
2007,04-08,500,0
2007,04-08,600,3
2007,04-08,700,2
2007,04-08,800,0
2007,04-08,900,1
2007,04-09,0,7579
2007,04-09,100,272
2007,04-09,200,208
2007,04-09,300,1076
2007,04-09,400,84
2007,04-09,500,394
2007,04-09,600,1368
2007,04-09,700,2191
2007,04-09,800,456
2007,04-09,900,773
2007,04-10,0,6299
2007,04-10,100,226
2007,04-10,200,241
2007,04-10,300,836
2007,04-10,400,73
2007,04-10,500,441
2007,04-10,600,1282
2007,04-10,700,1830
2007,04-10,800,478
2007,04-10,900,720
2007,04-11,0,6690
2007,04-11,100,253
2007,04-11,200,238
2007,04-11,300,996
2007,04-11,400,73
2007,04-11,500,425
2007,04-11,600,1565
2007,04-11,700,1813
2007,04-11,800,500
2007,04-11,900,806
2007,04-12,0,7014
2007,04-12,100,281
2007,04-12,200,244
2007,04-12,300,919
2007,04-12,400,75
2007,04-12,500,457
2007,04-12,600,1374
2007,04-12,700,1942
2007,04-12,800,561
2007,04-12,900,706
2007,04-13,0,6193
2007,04-13,100,253
2007,04-13,200,232
2007,04-13,300,935
2007,04-13,400,70
2007,04-13,500,369
2007,04-13,600,1265
2007,04-13,700,1924
2007,04-13,800,480
2007,04-13,900,736
2007,04-14,0,5969
2007,04-14,100,238
2007,04-14,200,268
2007,04-14,300,864
2007,04-14,400,100
2007,04-14,500,317
2007,04-14,600,1371
2007,04-14,700,1896
2007,04-14,800,428
2007,04-14,900,751
2007,04-15,0,2479
2007,04-15,100,163
2007,04-15,200,109
2007,04-15,300,369
2007,04-15,400,41
2007,04-15,500,220
2007,04-15,600,548
2007,04-15,700,776
2007,04-15,800,199
2007,04-15,900,306
2007,04-16,0,5907
2007,04-16,100,298
2007,04-16,200,214
2007,04-16,300,845
2007,04-16,400,75
2007,04-16,500,406
2007,04-16,600,1162
2007,04-16,700,1620
2007,04-16,800,445
2007,04-16,900,764
2007,04-17,0,5251
2007,04-17,100,274
2007,04-17,200,221
2007,04-17,300,790
2007,04-17,400,87
2007,04-17,500,311
2007,04-17,600,1148
2007,04-17,700,1871
2007,04-17,800,480
2007,04-17,900,652
2007,04-18,0,6500
2007,04-18,100,252
2007,04-18,200,226
2007,04-18,300,914
2007,04-18,400,67
2007,04-18,500,380
2007,04-18,600,1340
2007,04-18,700,1728
2007,04-18,800,569
2007,04-18,900,843
2007,04-19,0,6089
2007,04-19,100,272
2007,04-19,200,246
2007,04-19,300,796
2007,04-19,400,72
2007,04-19,500,370
2007,04-19,600,1249
2007,04-19,700,1899
2007,04-19,800,387
2007,04-19,900,750
2007,04-20,0,5157
2007,04-20,100,202
2007,04-20,200,221
2007,04-20,300,796
2007,04-20,400,86
2007,04-20,500,343
2007,04-20,600,1053
2007,04-20,700,1473
2007,04-20,800,379
2007,04-20,900,624
2007,04-21,0,5710
2007,04-21,100,225
2007,04-21,200,263
2007,04-21,300,789
2007,04-21,400,36
2007,04-21,500,321
2007,04-21,600,1096
2007,04-21,700,1680
2007,04-21,800,441
2007,04-21,900,668
2007,04-22,0,2734
2007,04-22,100,107
2007,04-22,200,134
2007,04-22,300,509
2007,04-22,400,39
2007,04-22,500,173
2007,04-22,600,511
2007,04-22,700,741
2007,04-22,800,179
2007,04-22,900,340
2007,04-23,0,5060
2007,04-23,100,208
2007,04-23,200,197
2007,04-23,300,751
2007,04-23,400,67
2007,04-23,500,276
2007,04-23,600,1087
2007,04-23,700,1635
2007,04-23,800,510
2007,04-23,900,655
2007,04-24,0,5236
2007,04-24,100,237
2007,04-24,200,205
2007,04-24,300,792
2007,04-24,400,57
2007,04-24,500,419
2007,04-24,600,1187
2007,04-24,700,1583
2007,04-24,800,564
2007,04-24,900,690
2007,04-25,0,6536
2007,04-25,100,323
2007,04-25,200,329
2007,04-25,300,981
2007,04-25,400,74
2007,04-25,500,403
2007,04-25,600,1456
2007,04-25,700,1886
2007,04-25,800,377
2007,04-25,900,909
